MIR770	MIRN770|hsa-mir-770	microRNA 770
GRM7	GPRC1G|mGlu7|PPP1R87|GLUR7|MGLUR7	glutamate receptor, metabotropic 7
RCN1	PIG20|FLJ37041|Rcal|RCN	reticulocalbin 1, EF-hand calcium binding domain|proliferation-inducing gene 20
HES4	bHLHb42	hes family bHLH transcription factor 4|hairy and enhancer of split 4 (Drosophila)
TPM3P1	TPM3L2	tropomyosin 3 pseudogene 1
COX4I1	COX4|COX4-1	cytochrome c oxidase subunit IV isoform 1
GLRXP3	GLRXL	glutaredoxin (thioltransferase) pseudogene 3
RGMB	DRAGON|FLJ90406	RGM domain family, member B|repulsive guidance molecule family member b
SEPT2	hNedd5|DIFF6|Pnutl3|NEDD5|KIAA0158	septin 2
HSPA1L	hum70t|HSP70-HOM	heat shock 70kDa protein 1-like
TRPC2		transient receptor potential cation channel, subfamily C, member 2, pseudogene
CROCCP4		ciliary rootlet coiled-coil, rootletin pseudogene 4
SLC33A1	SPG42|AT1|ACATN|AT-1	solute carrier family 33 (acetyl-CoA transporter), member 1
ZNF736P3Y	ZNF736P3|ZNF381P	zinc finger protein 736 pseudogene 3, Y-linked
ADH5P2		alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 2
RPS20P15		ribosomal protein S20 pseudogene 15
VPS39	VAM6|KIAA0770	vacuolar protein sorting 39 homolog (S. cerevisiae)
DBR1		debranching RNA lariats 1
FSHMD1A	FMD|FSHD	facioscapulohumeral muscular dystrophy 1A
MAPK6PS5		mitogen-activated protein kinase 6 pseudogene 5
SCN3B	HSA243396	sodium channel, voltage-gated, type III, beta subunit
PHF8	ZNF422|KIAA1111|JHDM1F	PHD finger protein 8|jumonji C domain-containing histone demethylase 1F
RPL13AP24		ribosomal protein L13a pseudogene 24
XRCC6P1		X-ray repair complementing defective repair in Chinese hamster cells 6 pseudogene 1
TRIM60P15		tripartite motif containing 60 pseudogene 15
MIR3187	hsa-mir-3187	microRNA 3187
ZNF573	FLJ30921	zinc finger protein 573
WDHD1	CTF4|CHTF4|AND-1	WD repeat and HMG-box DNA binding protein 1|CTF4, chromosome transmission fidelity factor 4 homolog (S. cerevisiae)
ZDHHC20	FLJ25952	zinc finger, DHHC-type containing 20
HOXC@	HOX3@	homeobox C cluster
RPL7	L7|humL7-1	ribosomal protein L7
CLEC1A	CLEC1|MGC34328	C-type lectin domain family 1, member A
LSP1P1		lymphocyte-specific protein 1 pseudogene 1
VENTX	VENTX2|HPX42B	VENT homeobox
HNRNPA1P8		heterogeneous nuclear ribonucleoprotein A1 pseudogene 8
RNU6-348P		RNA, U6 small nuclear 348, pseudogene
YWHAQP2		YWHAQ pseudogene 2
RNA5SP57	RN5S57	RNA, 5S ribosomal pseudogene 57
PDIA4	ERP72|ERP70	protein disulfide isomerase family A, member 4
PXN-AS1	EyeLinc4	PXN antisense RNA 1
CST7		cystatin F (leukocystatin)
ZNF223		zinc finger protein 223
IGHV2-70D		immunoglobulin heavy variable 2-70D
WFDC21P	lnc-DC|LNCDC|LOC645638	
PALM2		paralemmin 2
EIF2B5-AS1		EIF2B5 antisense RNA 1
RPS2P24		ribosomal protein S2 pseudogene 24
RPS3AP41		ribosomal protein S3a pseudogene 41
RPL29P28		ribosomal protein L29 pseudogene 28
RPL17P10		ribosomal protein L17 pseudogene 10
XGR	YG	XG and CD99 regulator
SULT		sulfotransferase
RNU6-631P		RNA, U6 small nuclear 631, pseudogene
FOXD4L5	bA15J10.2|OTTHUMG00000013332	forkhead box D4-like 5
RPL17P24		ribosomal protein L17 pseudogene 24
ATHL1	FLJ22635	ATH1, acid trehalase-like 1 (yeast)
ZNF772	DKFZp686I1569	zinc finger protein 772
C1orf64	ERRF|MGC24047	ER-related factor|chromosome 1 open reading frame 64
TPP2		tripeptidyl peptidase II
LINC01204		long intergenic non-protein coding RNA 1204
RNA5SP208	RN5S208	RNA, 5S ribosomal pseudogene 208
PSMD5	KIAA0072|S5B	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5
OR4K5		olfactory receptor, family 4, subfamily K, member 5
CAPZB		capping protein (actin filament) muscle Z-line, beta
HMGN2P21		high mobility group nucleosomal binding domain 2 pseudogene 21
VAMP1	SYB1|VAMP-1	vesicle-associated membrane protein 1 (synaptobrevin 1)
MIR320C1	hsa-mir-320c-1|MIRN320C1	microRNA 320c-1
LCEP2		late cornified envelope pseudogene 2
LGALS9	LGALS9A	lectin, galactoside-binding, soluble, 9|galectin 9
F8A1	DXS522E|F8A	coagulation factor VIII-associated 1
PGAM1P13		phosphoglycerate mutase 1 pseudogene 13
NHSL1	KIAA1357|C6orf63|bA43P8.1	NHS-like 1
RPL35AP37		ribosomal protein L35a pseudogene 37
DEFA11P	DEFAP3	defensin, alpha 11 pseudogene
C4B_2		complement component 4B (Chido blood group), copy 2
LINC00525		long intergenic non-protein coding RNA 525
TRMT6	Gcd10p|CGI-09|MGC5029|GCD10	tRNA methyltransferase 6 homolog (S. cerevisiae)
GSTP1	GSTP|GST3|FAEES3	glutathione S-transferase pi 1
KRTAP13-2	KAP13-2	keratin associated protein 13-2
MRX51		mental retardation, X-linked 51
FDPSP8		farnesyl diphosphate synthase pseudogene 8
DYNAP	C18orf26|FLJ39106	dynactin associated protein
CASP3P1		caspase 3, apoptosis-related cysteine peptidase pseudogene 1
RNU6-753P		RNA, U6 small nuclear 753, pseudogene
PSMC1P11		proteasome (prosome, macropain) 26S subunit, ATPase, 1 pseudogene 11
TINAGL1	LIECG3|LCN7|TINAGRP|ARG1|P3ECSL	tubulointerstitial nephritis antigen-like 1
C2		complement component 2
VSIG10L		V-set and immunoglobulin domain containing 10 like
MYH15	KIAA1000	myosin, heavy chain 15
GNG2		guanine nucleotide binding protein (G protein), gamma 2
RNY4P32		
IFITM2	1-8D	interferon induced transmembrane protein 2
RNU7-40P	U7.40	RNA, U7 small nuclear 40 pseudogene
PPP1R15A	GADD34	protein phosphatase 1, regulatory subunit 15A|growth arrest and DNA-damage-inducible 34
ERICH3	DKFZp547I048|RP11-653A5.1|C1orf173	glutamate-rich 3|chromosome 1 open reading frame 173
RNU7-91P		RNA, U7 small nuclear 91 pseudogene
OR55B1P	OR55C1P|OR55B2P	olfactory receptor, family 55, subfamily B, member 1 pseudogene
LEFTY2	TGFB4|EBAF|LEFTA|LEFTYA	left-right determination factor 2|transforming growth factor, beta-4 (endometrial bleeding-associated factor; LEFTY A)
RNF220	FLJ10597|C1orf164	ring finger protein 220
MRPL50P4		mitochondrial ribosomal protein L50 pseudogene 4
SASH3	SH3D6C|753P9|SLY|CXorf9|HACS2	SAM and SH3 domain containing 3
TP73	P73	tumor protein p73
FAM41BY		family with sequence similarity 41, member B, Y-linked
APCS	PTX2|MGC88159|SAP	9.5S alpha-1-glycoprotein|amyloid P component, serum|pentaxin-related
C9orf66	FLJ31158	chromosome 9 open reading frame 66
AP4M1	MU-ARP2|MU-4|SPG50	mu-adaptin-related protein-2|mu subunit of AP-4|AP-4 adapter complex mu subunit|adaptor-related protein complex AP-4 mu4 subunit|adaptor-related protein complex 4, mu 1 subunit
MIR4750	hsa-mir-4750	microRNA 4750
TMEM108	CT124|MGC3040	transmembrane protein 108|cancer/testis antigen 124
HAR1A	HAR1F|NCRNA00064|LINC00064	highly accelerated region 1A (non-protein coding)|non-protein coding RNA 64|long intergenic non-protein coding RNA 64|human accelerated region 1, forward
CA15P2		carbonic anhydrase XV, pseudogene 2
C14orf64		chromosome 14 open reading frame 64
REM2	FLJ38964	RAS (RAD and GEM)-like GTP binding 2
CLDN8		claudin 8
OR52X1P		olfactory receptor, family 52, subfamily X, member 1 pseudogene
RAD9A	RAD9	RAD9 homolog A (S. pombe)
GCSAML	C1orf150|FLJ44728	germinal center-associated, signaling and motility-like
AK3P6		adenylate kinase 3 pseudogene 6
ERVK-22	c19_A	endogenous retrovirus group K, member 22
PCDHB11	ME2|PCDH-BETA11	protocadherin beta 11|cadherin ME2
RNU6-673P		RNA, U6 small nuclear 673, pseudogene
FHOD3	KIAA1695|FHOS2|FLJ22297|FLJ22717	formin homology 2 domain containing 3
STUB1	UBOX1|SDCCAG7|NY-CO-7|HSPABP2|CHIP	STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase
SLC25A3P2		solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3 pseudogene 2
RNU4-62P		RNA, U4 small nuclear 62, pseudogene
PUS7	FLJ20485	pseudouridylate synthase 7 (putative)|pseudouridylate synthase 7 homolog (S. cerevisiae)
RPL34P6		ribosomal protein L34 pseudogene 6
GNAQP1	GNAQP	guanine nucleotide binding protein (G protein), q polypeptide pseudogene 1
VDAC1P1	VDAC1P	voltage-dependent anion channel 1 pseudogene 1|voltage-dependent anion channel 1 pseudogene
DDAH2		dimethylarginine dimethylaminohydrolase 2
RMRPP1		RNA component of mitochondrial RNA processing endoribonuclease pseudogene 1
DGKB	DAGK2|DGK-BETA|KIAA0718|DGK	diacylglycerol kinase, beta 90kDa
RN7SL274P		RNA, 7SL, cytoplasmic 274, pseudogene
MLLT10P2		myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10 pseudogene 2
FAM32B		family with sequence similarity 32, member B (pseudogene)
OR52B2		olfactory receptor, family 52, subfamily B, member 2
RICTOR	MGC39830|KIAA1999|AVO3|PIA	rapamycin-insensitive companion of mTOR|pianissimo|RPTOR independent companion of MTOR, complex 2
PIP4K2B	PIP5K2B|PIP5KIIB|PIP5KIIbeta	phosphatidylinositol-5-phosphate 4-kinase, type II, beta
GATM-AS1		GATM antisense RNA 1
KDM6A	UTX	lysine (K)-specific demethylase 6A
MIR9-3	hsa-mir-9-3|MIRN9-3	microRNA 9-3
GCSHP3		glycine cleavage system protein H (aminomethyl carrier) pseudogene 3
TRUND-NNN1-1		
SRGAP3-AS1		SRGAP3 antisense RNA 1
BTAF1	TAFII170|TAF172|TAF(II)170|MOT1|TAF-172	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa|Mot1 homolog (S. cerevisiae)
SLC25A21-AS1		SLC25A21 antisense RNA 1
AIM2	PYHIN4	absent in melanoma 2
RPL31P28		ribosomal protein L31 pseudogene 28
RELT	FLJ14993|TNFRSF19L	RELT tumor necrosis factor receptor
ZNF45	ZNF13	zinc finger protein 45
NAPG		N-ethylmaleimide-sensitive factor attachment protein, gamma|gamma SNAP
RPL37AP3		ribosomal protein L37a pseudogene 3
H2AFZ	H2A.Z|H2AZ	H2A histone family, member Z
RNU6-668P		RNA, U6 small nuclear 668, pseudogene
COL9A1		collagen, type IX, alpha 1
TRS-GCT1-1	TRNAS12	transfer RNA serine 12 (anticodon GCU)
CHCHD6	MGC13016|CHCM1|PPP1R23	coiled-coil-helix cristae morphology 1|coiled-coil-helix-coiled-coil-helix domain containing 6|protein phosphatase 1, regulatory subunit 23
HNRNPH1P1		heterogeneous nuclear ribonucleoprotein H1 pseudogene 1
RN7SL326P		RNA, 7SL, cytoplasmic 326, pseudogene
ANKRD26P1	FLJ43980	ankyrin repeat domain 26 pseudogene 1
WDR45B	WDR45L|WIPI3	WD repeat domain 45B
CXB3S		coxsackie virus B3 sensitivity
C1QTNF8	UNQ5829|CTRP8	C1q and tumor necrosis factor related protein 8
TRBV23OR9-2	TRBV23/OR9-2|TRBV23OR92|TCRBV19S2O|TCRBV23S2	T cell receptor beta variable 23/OR9-2 (non-functional)
RN7SL194P		RNA, 7SL, cytoplasmic 194, pseudogene
FAM58DP		family with sequence similarity 58, member D, pseudogene
ZNF252P-AS1	C8orf77	ZNF252P antisense RNA 1
TRX-CAT1-2	TRNAM14	transfer RNA methionine 14 (anticodon CAU)
NUDT10	DIPP3a|hDIPP3alpha	nudix (nucleoside diphosphate linked moiety X)-type motif 10
SMARCB1	SNF5L1|BAF47|Sfh1p|RDT|Ini1|PPP1R144|Snr1|hSNFS	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1|sucrose nonfermenting, yeast, homolog-like 1|integrase interactor 1|malignant rhabdoid tumor suppressor
DNAJC15	DNAJD1|MCJ	DnaJ (Hsp40) homolog, subfamily C, member 15
RN7SKP21		RNA, 7SK small nuclear pseudogene 21
ZNF90P1	ZNF108|ZNF108P	zinc finger protein 90 pseudogene 1
H2AFZP4		H2A histone family, member Z pseudogene 4
RNA45S3		RNA, 45S pre-ribosomal 3
TRT-TGT3-1	TRT2|TRNAT2	transfer RNA threonine 2 (anticodon UGU)
HMGB3P2	HMGB3L2|dJ550H1.1|HMG4L2	high mobility group box 3 pseudogene 2
ERICH4	LOC100170765|C19orf69	glutamate-rich 4|chromosome 19 open reading frame 69
DDX10P2		DEAD (Asp-Glu-Ala-Asp) box polypeptide 10 pseudogene 2
GDF5	CDMP1|BMP14	cartilage-derived morphogenetic protein-1|growth differentiation factor 5
MIR3666	hsa-mir-3666	microRNA 3666
ST13P19		suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 19
ZNF385B	ZNF533|FLJ25270	zinc finger protein 385B
IGHVIII-26-1	IGHV(III)-26-1	immunoglobulin heavy variable (III)-26-1 (pseudogene)
MPHOSPH10	PPP1R106|CT90|MPP10P|MPP10	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)
RPL31	L31	ribosomal protein L31
PEX11G		peroxisomal biogenesis factor 11 gamma
RPL31P19		ribosomal protein L31 pseudogene 19
GNG3		guanine nucleotide-binding protein gamma-3 subunit|NBP gamma-3|guanine nucleotide binding protein (G protein), gamma 3
LINC00567		long intergenic non-protein coding RNA 567
DMD-AS3		DMD antisense RNA 3
TRDJ1		T cell receptor delta joining 1
RNU1-149P		RNA, U1 small nuclear 149, pseudogene
HINT3	FLJ33126	histidine triad nucleotide binding protein 3
DFNB45		deafness, autosomal recessive 45
OS9	OS-9|ERLEC2	osteosarcoma amplified 9, endoplasmic reticulum lectin|erlectin 2|endoplasmic reticulum lectin 2
FBXL17	DKFZP434C1715|FBXO13|Fbx13|Fbl17	F-box and leucine-rich repeat protein 17
ANOP1	MCOPS4	anophthalmos 1 (with mental retardation, without limb anomalies or dental or urogenital abnormalities)
EMC2	TTC35|KIAA0103	ER membrane protein complex subunit 2
IGHJ1P	Jpsi1	immunoglobulin heavy joining 1P (pseudogene)
YWHAQP3		YWHAQ pseudogene 3
TUBA8P2		tubulin, alpha 8 pseudogene 2
TNFRSF11B	TR1|OPG|OCIF	tumor necrosis factor receptor superfamily, member 11b
ST8SIA1	SIAT8|SIAT8A	ST8Sia I|ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1
MIR381	MIRN381|hsa-mir-381	microRNA 381
VPS9D1-AS1		VPS9D1 antisense RNA 1
HNRNPA3P7		heterogeneous nuclear ribonucleoprotein A3 pseudogene 7
PSMG3	PAC3|C7orf48|MGC10911	proteasome (prosome, macropain) assembly chaperone 3
C11orf74	HEPIS|FLJ38678	chromosome 11 open reading frame 74
CNBP	ZCCHC22|DM2|RNF163|ZNF9|CNBP1	CCHC-type zinc finger, nucleic acid binding protein
RNA5SP51	RN5S51	RNA, 5S ribosomal pseudogene 51
SLC25A25-AS1		
PTGES2	C9orf15|FLJ14038	prostaglandin E synthase 2
IGLC1	IGLC	immunoglobulin lambda constant 1 (Mcg marker)
RN7SL432P		RNA, 7SL, cytoplasmic 432, pseudogene
ZNF607	MGC13071|FLJ14802	zinc finger protein 607
DCAF10	MGC10765|WDR32|FLJ23201	DDB1 and CUL4 associated factor 10
UCHL5	UCH37|CGI-70|INO80R	INO80 complex subunit R|ubiquitin carboxyl-terminal hydrolase L5
ANO6	DKFZp313M0720|TMEM16F	anoctamin 6
RPS27P20		ribosomal protein S27 pseudogene 20
LMCD1-AS1		LMCD1 antisense RNA 1 (head to head)
CALR3	CRT2|FLJ25355|CT93|MGC26577	calreticulin 3|calsperin|cancer/testis antigen 93
KIAA0195	TMEM94	KIAA0195
RNU7-120P		RNA, U7 small nuclear 120 pseudogene
ADCY3	AC3	adenylate cyclase 3
RNU6-1124P		RNA, U6 small nuclear 1124, pseudogene
FLNB-AS1		FLNB antisense RNA 1
PIH1D2		PIH1 domain containing 2
PNLIPRP3		pancreatic lipase-related protein 3
THSD1	TMTSP	thrombospondin, type I, domain containing 1
SNAR-G2		small ILF3/NF90-associated RNA G2
CDKN2B	TP15|P15|CDK4I|p15INK4b|MTS2|INK4B	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)
CATSPER2P1		cation channel, sperm associated 2 pseudogene 1
RHOA-IT1		RHOA intronic transcript 1 (non-protein coding)
OR7E22P	OR6DG|OR3.6	olfactory receptor, family 7, subfamily E, member 22 pseudogene
FLG		filaggrin
NMTRL-TAA1-1	TRNAL31	transfer RNA leucine 31 (anticodon UAA)
DOK7	Dok-7|FLJ39137|C4orf25|FLJ33718	docking protein 7
ITGA10		integrin, alpha 10
UBL5P4		ubiquitin-like 5 pseudogene 4
RN7SL71P		RNA, 7SL, cytoplasmic 71, pseudogene
RNU1-7P	RNU1-7	RNA, U1 small nuclear 7, pseudogene
DFNA34		deafness, autosomal dominant 34
RN7SL430P		RNA, 7SL, cytoplasmic 430, pseudogene
SNORD42B	U42B|RNU42B	small nucleolar RNA, C/D box 42B
RNU6-181P		RNA, U6 small nuclear 181, pseudogene
MIR941-5		
SNORA41	ACA41	small nucleolar RNA, H/ACA box 41
TIMM9P2		translocase of inner mitochondrial membrane 9 homolog (yeast) pseudogene 2
FTH1P11	FTHL11	ferritin, heavy polypeptide 1 pseudogene 11
BDP1P		B double prime 1 pseudogene
STEAP3-AS1		STEAP3 antisense RNA 1
PI15	P25TI	peptidase inhibitor 15
AHCY	SAHH	adenosylhomocysteinase
BMPR1B-AS1	TCONS_00007797	
METTL8	FLJ13984|TIP	tension-induced/inhibited protein|methyltransferase like 8
TRGV5	V1S5|TCRGV5	T cell receptor gamma variable 5|T-cell receptor, gamma, variable region V5
SLC16A8	MCT3|REMP	solute carrier family 16, member 8 (monocarboxylic acid transporter 3)|monocarboxylate transporter 3|solute carrier family 16 (monocarboxylate transporter), member 8
KRTAP4-7	KAP4.7	keratin associated protein 4-7
CD24P4	CD24L4	CD24 molecule pseudogene 4
TUBBP5		tubulin, beta pseudogene 5
TRE-CTC17-1	TRNAE14	transfer RNA glutamic acid 14 (anticodon CUC)
SUPT4H1	SPT4H|SUPT4H	suppressor of Ty 4 homolog 1 (S. cerevisiae)
OR9A2		olfactory receptor, family 9, subfamily A, member 2
RPS19BP1	FLJ21770|MGC52010	ribosomal protein S19 binding protein 1
LMLN-AS1		LMLN antisense RNA 1
TCEB1P18		transcription elongation factor B (SIII), polypeptide 1 pseudogene 18
SIGLEC1	CD169|FLJ00055|sialoadhesin|dJ1009E24.1|FLJ00073|FLJ00051|FLJ32150|SN|SIGLEC-1	sialic acid binding Ig-like lectin 1, sialoadhesin
LEPRE1	P3H1|MGC117314|LEPRECAN|GROS1	growth suppressor 1|prolyl 3-hydroxylase 1|leucine proline-enriched proteoglycan (leprecan) 1
SIRPB1	SIRP-BETA-1|CD172b	signal-regulatory protein beta 1
ARHGAP17	RICH1|FLJ13219|FLJ10308|WBP15|NADRIN	Rho GTPase activating protein 17
HSPA8P2		heat shock 70kDa protein 8 pseudogene 2
TRI-AAT12-1	TRNAI30P	transfer RNA isoleucine 30 (anticodon AAU) pseudogene
ZNF585B	FLJ14928|SZFP41	zinc finger protein 585B
TMEM175	MGC4618	transmembrane protein 175
RNU7-2P	U7.2	RNA, U7 small nuclear 2 pseudogene
AKT3	PKBG|PRKBG|RAC-gamma	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)|v-akt murine thymoma viral oncogene homolog 3
RPS13	S13	40S ribosomal protein S13|ribosomal protein S13
SKAP1	SKAP55|SCAP1	src kinase associated phosphoprotein 1
CRK		v-crk avian sarcoma virus CT10 oncogene homolog|v-crk sarcoma virus CT10 oncogene homolog (avian)
MRX25		mental retardation, X-linked 25
KRT18P7		keratin 18 pseudogene 7
RPS26P14		ribosomal protein S26 pseudogene 14
LINC00443		long intergenic non-protein coding RNA 443
RNU6-440P		RNA, U6 small nuclear 440, pseudogene
MTND1P10		MT-ND1 pseudogene 10
ARL13A	ARL13	ADP-ribosylation factor-like 13A
KRT18P54		keratin 18 pseudogene 54
RAB11FIP4	RAB11-FIP4|KIAA1821|FLJ00131|MGC11316	RAB11 family interacting protein 4 (class II)
PSMG3-AS1	KIAA1908	PSMG3 antisense RNA 1 (head to head)
TRS-CGA4-1	TRNAS11	transfer RNA serine 11 (anticodon CGA)
HOXA5	HOX1C|HOX1	homeobox A5
PROSER3	FLJ30657|C19orf55	chromosome 19 open reading frame 55
GRID1	KIAA1220|GluD1	glutamate receptor, ionotropic, delta 1
URM1	C9orf74|MGC2668	ubiquitin related modifier 1
RN7SL547P		RNA, 7SL, cytoplasmic 547, pseudogene
EEF1DP1		eukaryotic translation elongation factor 1 delta pseudogene 1
C6orf58		chromosome 6 open reading frame 58
FABP1	L-FABP	fatty acid binding protein 1, liver
HOXB-AS2		HOXB cluster antisense RNA 2
MIR4294	hsa-mir-4294	microRNA 4294
RNU6-934P		RNA, U6 small nuclear 934, pseudogene
ZNF688		zinc finger protein 688
UGT2B26P		UDP glucuronosyltransferase 2 family, polypeptide B26 pseudogene
C10orf128	Em:AC084727.5	chromosome 10 open reading frame 128
ZNF426	MGC2663	zinc finger protein 426
GLYATL1P2		glycine-N-acyltransferase-like 1 pseudogene 2
RNU6-450P		RNA, U6 small nuclear 450, pseudogene
TMEM87B	FLJ14681	transmembrane protein 87B
ARPC5L	ARC16-2|MGC3038	actin related protein 2/3 complex, subunit 5-like
VDAC2P2		voltage-dependent anion channel 2 pseudogene 2
RN7SL722P		RNA, 7SL, cytoplasmic 722, pseudogene
RN7SKP220		RNA, 7SK small nuclear pseudogene 220
MND1	GAJ	meiotic nuclear divisions 1 homolog (S. cerevisiae)
RNA5SP395	RN5S395	RNA, 5S ribosomal pseudogene 395
HGFAC	HGFA|HGFAP	HGF activator
GNB1		guanine nucleotide binding protein (G protein), beta polypeptide 1
PTPRG-AS1		PTPRG antisense RNA 1
RN7SL656P		RNA, 7SL, cytoplasmic 656, pseudogene
CDH26	VR20	cadherin 26
GCC2	KIAA0336|GCC185	GRIP and coiled-coil domain containing 2
MRPS18BP2		mitochondrial ribosomal protein S18B pseudogene 2
RPL23AP5		ribosomal protein L23a pseudogene 5
RNU4-64P		RNA, U4 small nuclear 64, pseudogene
HSPBAP1	PASS1|FLJ22623	HSPB (heat shock 27kDa) associated protein 1
RPS23P4		ribosomal protein S23 pseudogene 4
RPL21P5		ribosomal protein L21 pseudogene 5
TALDO1P1	TALDO|TALDOP1|TAL-H	transaldolase 1 pseudogene 1
MIRLET7G	MIRNLET7G|hsa-let-7g	microRNA let-7g
RNA5SP188	RN5S188	RNA, 5S ribosomal pseudogene 188
MOBP		myelin-associated oligodendrocyte basic protein
RARRES2P9		retinoic acid receptor responder (tazarotene induced) 2 pseudogene 9
CXorf51A	CXorf51	chromosome X open reading frame 51A
CYCSP29	HCP29	cytochrome c, somatic pseudogene 29
PDE10A		phosphodiesterase 10A
PAK7	PAK5|KIAA1264	p21 protein (Cdc42/Rac)-activated kinase 7
RNY1P13		
RPL5P26		ribosomal protein L5 pseudogene 26
SAT2	SSAT2	diamine N-acetyltransferase 2|spermidine/spermine N1-acetyltransferase family member 2
RPL18P1		ribosomal protein L18 pseudogene 1
MAP7	E-MAP-115	microtubule-associated protein 7
FRMPD2B	FRMPD2P1|FRMPD2P2|PDZD5B|yX59F3.2|PDZK5B|FRMPD2L1|bA556L1.2|PDZD5A|FRMPD2L2|PDZK5A	FERM and PDZ domain containing 2 pseudogene 2|PDZ domain containing 5A|FERM and PDZ domain containing 2 pseudogene 1|PDZ domain containing 5B
UNC93B4		unc-93 homolog B4 pseudogene (C. elegans)
SYF2	fSAP29|CBPIN|DKFZp564O2082|NTC31|p29	SYF2 homolog, RNA splicing factor (S. cerevisiae)|SYF2 pre-mRNA-splicing factor|functional spliceosome-associated protein 29
HNRNPA1P16		heterogeneous nuclear ribonucleoprotein A1 pseudogene 16
RPLP1P2		ribosomal protein, large, P1 pseudogene 2
RAB9AP2		RAB9A, member RAS oncogene family pseudogene 2
RNF11P2	bA280O9.1|RNF11B	ring finger protein 11 pseudogene 2
RNU6-1263P		RNA, U6 small nuclear 1263, pseudogene
CHMP6	FLJ11749|VPS20	charged multivesicular body protein 6
MIR1234	MIRN1234|hsa-mir-1234	microRNA 1234
RBPJ	RBP-J|SUH|RBPJK|CBF1|KBF2|IGKJRB|RBPSUH|IGKJRB1	recombination signal binding protein for immunoglobulin kappa J region|suppressor of hairless homolog (Drosophila)
CMSS1	C3orf26|MGC4308	cms1 ribosomal small subunit homolog (yeast)
